Date,Price,Open,High,Low,Volume,Change(%)
01 Feb 2023,880.7,883.95,898.05,868.4,279085,-0.37%
31 Jan 2023,883.95,853.9,887.9,850,298571,4.06%
30 Jan 2023,849.45,852.55,867.5,847.1,187863,-0.15%
27 Jan 2023,850.7,864.1,876.35,844.35,208102,-1.82%
25 Jan 2023,866.45,865.6,876.4,861.05,165318,-0.77%
24 Jan 2023,873.2,888.95,893.65,870,320181,-1.16%
23 Jan 2023,883.45,867.8,889.45,867.75,283210,1.81%
20 Jan 2023,867.75,863.85,882.8,862.5,490043,0.95%
19 Jan 2023,859.55,860.4,868.4,855.05,89934,-0.36%
18 Jan 2023,862.65,852.1,866.7,852.1,83340,1.01%
17 Jan 2023,854.05,855,857.8,841,111306,0.38%
16 Jan 2023,850.8,855.1,861.95,845.35,82220,-0.49%
13 Jan 2023,854.95,858,870.4,847,181157,-0.81%
12 Jan 2023,861.95,867.55,871.45,860.5,112304,-0.63%
11 Jan 2023,867.4,870,871.9,860.7,81258,-0.07%
10 Jan 2023,868.05,871,874.45,861.65,96795,-0.16%
09 Jan 2023,869.4,863.85,872.65,863.85,117381,1.15%
06 Jan 2023,859.55,868.5,874.3,853,220995,-0.90%
05 Jan 2023,867.35,851.45,869,845.5,205112,1.87%
04 Jan 2023,851.45,857.1,860,845,328598,-0.60%
03 Jan 2023,856.6,845.2,862.95,842.35,273557,1.35%
02 Jan 2023,845.2,842.7,847.25,834.3,128988,0.83%
30 Dec 2022,838.25,838.2,849.35,834.35,225363,0.06%
29 Dec 2022,837.75,842,842.85,833.65,243113,-0.63%
28 Dec 2022,843.1,848,852.5,839,119276,-0.48%
27 Dec 2022,847.15,851,857.8,841.2,200068,-0.11%
26 Dec 2022,848.1,830,851,820.1,257126,2.33%
23 Dec 2022,828.8,862.95,863.5,825,361062,-4.27%
22 Dec 2022,865.75,887,891.8,856.4,608905,-2.45%
21 Dec 2022,887.5,910,918.85,878.35,518030,-2.45%
20 Dec 2022,909.75,909.7,915,890.55,622422,0.32%
19 Dec 2022,906.85,890.6,910.7,888.05,587354,1.98%
16 Dec 2022,889.2,898.5,909,883.55,563698,-1.06%
15 Dec 2022,898.75,887,905,880.4,376492,1.52%
14 Dec 2022,885.25,876,888.4,875,270146,1.33%
13 Dec 2022,873.6,878.85,884.8,870,254450,-0.52%
12 Dec 2022,878.2,873.45,880,860,209819,0.81%
09 Dec 2022,871.15,883.1,894.1,863,313052,-1.27%
08 Dec 2022,882.35,884.9,889.55,876.4,218167,-0.16%
07 Dec 2022,883.75,897,901.75,881,275679,-1.72%
06 Dec 2022,899.2,907.8,912.55,894.25,486374,-0.55%
05 Dec 2022,904.15,909,911.7,897.4,160208,-0.34%
02 Dec 2022,907.25,904.5,918,899,489400,0.83%
01 Dec 2022,899.75,909,922.45,897,544761,-0.33%
30 Nov 2022,902.75,897.95,922.5,893.05,551670,0.59%
29 Nov 2022,897.45,914.8,916.1,892.05,485497,-1.43%
28 Nov 2022,910.45,891,914.5,882,524462,2.16%
25 Nov 2022,891.2,873.95,892.65,868.05,318083,2.35%
24 Nov 2022,870.7,877.95,880.75,845.05,592668,-0.67%
23 Nov 2022,876.6,868.25,879.45,860.85,334291,0.60%
22 Nov 2022,871.35,895,917,864.05,908116,-3.31%
21 Nov 2022,901.15,899.35,906,891,512073,0.49%
18 Nov 2022,896.75,882,903.7,874.5,641035,2.01%
17 Nov 2022,879.05,889.2,893.85,874.4,293047,-1.45%
16 Nov 2022,891.95,899.65,913,886.4,731864,-0.87%
15 Nov 2022,899.75,884.7,907.8,877.25,1192127,2.21%
14 Nov 2022,880.3,861,888,837.05,674481,0.49%
11 Nov 2022,876.05,894,894,867.8,261566,-0.22%
10 Nov 2022,878,879.95,897.45,873.3,415229,0.10%
09 Nov 2022,877.15,886,892.45,875,255050,-1.36%
07 Nov 2022,889.2,894.5,897.95,876.95,369529,-0.07%
04 Nov 2022,889.85,887.5,894,882.1,209665,0.30%
03 Nov 2022,887.15,876.3,889,872.45,305686,1.24%
02 Nov 2022,876.3,865.95,881.75,862.9,352269,1.21%
01 Nov 2022,865.8,861.65,868,857.15,155387,0.48%
31 Oct 2022,861.65,856.2,865.9,847,248279,0.67%
28 Oct 2022,855.95,868.95,875,851.5,453346,-1.50%
27 Oct 2022,868.95,839,874.9,836.25,1480704,3.66%
25 Oct 2022,838.3,780.3,840.7,780.3,1335509,6.66%
24 Oct 2022,785.95,790,795,785,38887,0.29%
21 Oct 2022,783.65,786.8,792.6,774,335668,0.08%
20 Oct 2022,783.05,786.7,788.6,773,322222,-0.29%
19 Oct 2022,785.35,800.35,809,783.65,510978,-1.38%
18 Oct 2022,796.35,802,805.7,787.15,635158,0.18%
17 Oct 2022,794.95,811.45,816.15,792,323902,-1.66%
14 Oct 2022,808.4,786.8,814.4,786.8,609841,3.28%
13 Oct 2022,782.7,779.75,792.2,779.75,234859,0.38%
12 Oct 2022,779.75,787.25,787.25,771.4,286061,-0.26%
11 Oct 2022,781.8,809.9,810.85,779.65,450932,-3.10%
10 Oct 2022,806.85,819.15,820.4,802.1,222756,-1.50%
07 Oct 2022,819.15,829.4,838,810.9,349269,-1.02%
06 Oct 2022,827.55,827.65,841,825,433502,0.49%
04 Oct 2022,823.55,822.1,830,812.05,653825,2.67%
03 Oct 2022,802.1,821.95,824.95,796.05,1228043,-3.61%
30 Sep 2022,832.15,865,875,826.6,1244113,-4.79%
29 Sep 2022,874.05,866.85,885,866.05,968857,1.34%
28 Sep 2022,862.5,846.15,870.8,839.85,880394,1.31%
27 Sep 2022,851.35,800,857.8,798.15,1273738,6.67%
26 Sep 2022,798.15,835,836.95,790,473138,-4.75%
23 Sep 2022,837.95,871.9,878.2,836,399595,-3.96%
22 Sep 2022,872.5,854.9,874.95,850.9,346184,1.82%
21 Sep 2022,856.9,872.9,906,855.1,1605224,-1.40%
20 Sep 2022,869.1,862.9,878.35,858.5,320874,1.25%
19 Sep 2022,858.35,852,864.5,834,386054,0.95%
16 Sep 2022,850.25,900.05,904.55,847,559134,-5.06%
15 Sep 2022,895.55,875.75,904,871.05,686474,2.52%
14 Sep 2022,873.5,872.8,875.9,865.1,224856,-0.69%
13 Sep 2022,879.6,889,896.4,876,157066,-0.97%
12 Sep 2022,888.2,884.55,892.5,879.05,187786,0.90%
09 Sep 2022,880.25,881.5,897.6,874.9,494949,0.38%
08 Sep 2022,876.9,884,889.75,874.4,184137,0.01%
07 Sep 2022,876.8,856,880.5,856,198269,1.46%
06 Sep 2022,864.2,878.8,884.55,861.35,188644,-1.09%
05 Sep 2022,873.75,872.5,876.3,865.1,163704,0.19%
02 Sep 2022,872.05,875.75,892,868.85,709597,0.05%
01 Sep 2022,871.65,864.4,884,862.05,423334,0.37%
30 Aug 2022,868.45,862,870.6,859,253442,0.84%
29 Aug 2022,861.2,847.5,866.7,840,371261,0.76%
26 Aug 2022,854.7,860,865,851.8,142147,-0.13%
25 Aug 2022,855.85,864,872,852.6,273897,-0.83%
24 Aug 2022,863,865,867.1,852.5,338925,0.34%
23 Aug 2022,860.1,846,865.4,840.95,444861,0.90%
22 Aug 2022,852.45,868.9,870.7,850,356784,-1.75%
19 Aug 2022,867.65,891.75,902,863.95,738043,-2.70%
18 Aug 2022,891.75,905,920,886,656371,-1.58%
17 Aug 2022,906.1,908,912,887,1598775,-1.69%
16 Aug 2022,921.65,892.25,925,890.1,1373922,3.59%
12 Aug 2022,889.75,860,902,853.35,2036194,3.42%
11 Aug 2022,860.35,812.75,863.6,799,3346586,5.92%
10 Aug 2022,812.3,822,822.75,797.35,1077234,-0.66%
08 Aug 2022,817.7,790.1,829,790.1,2814483,4.14%
05 Aug 2022,785.2,782.5,794.85,759.35,694452,0.62%
04 Aug 2022,780.35,789,792.9,770.25,417498,-0.63%
03 Aug 2022,785.3,790,795.45,777.55,428392,-0.26%
02 Aug 2022,787.35,781,788.95,775,258003,0.71%
01 Aug 2022,781.8,760,784,756.55,556380,3.73%
29 Jul 2022,753.7,757,759.5,748.5,267784,0.81%
28 Jul 2022,747.65,751.8,756.5,738.4,255680,-0.03%
27 Jul 2022,747.9,725.05,749.95,725,453505,2.59%
26 Jul 2022,729.05,745.1,748.15,727,353890,-1.94%
25 Jul 2022,743.45,745,753.15,737.25,454286,-1.14%
22 Jul 2022,752,774,776,750,486933,-2.57%
21 Jul 2022,771.85,784.5,787.95,770.2,308866,-1.59%
20 Jul 2022,784.35,788.5,797,782.3,255400,-0.08%
19 Jul 2022,785,792,802,780.1,371251,-1.84%
18 Jul 2022,799.7,795,806.8,794.1,239266,0.41%
15 Jul 2022,796.4,795.55,801.9,791.5,72515,0.14%
14 Jul 2022,795.3,795.1,804.25,790.25,152922,-0.59%
13 Jul 2022,800.05,807,810,794.3,440554,1.13%
12 Jul 2022,791.1,798,809.95,788.2,158546,-1.56%
11 Jul 2022,803.6,803.05,807.2,793.85,162595,0.07%
08 Jul 2022,803.05,793,812.45,787.45,505460,1.76%
07 Jul 2022,789.15,783.8,799.75,782.55,355641,0.91%
06 Jul 2022,782.05,767.2,784.35,763.6,289857,1.94%
05 Jul 2022,767.15,784.15,787,765,243167,-1.27%
04 Jul 2022,777,765,788.25,765,544035,0.92%
01 Jul 2022,769.9,760.55,771,757.05,170132,1.22%
30 Jun 2022,760.6,758.4,771.75,755,377663,-0.24%
29 Jun 2022,762.4,759.75,771.2,748.4,333316,-0.26%
28 Jun 2022,764.4,761,770.95,750.05,651004,0.15%
27 Jun 2022,763.25,765,768,757.2,267452,0.96%
24 Jun 2022,756,742,760.15,740,643391,2.29%
23 Jun 2022,739.1,737.65,746.7,727.5,330754,0.20%
22 Jun 2022,737.65,716,742,709.8,902930,2.89%
21 Jun 2022,716.9,682,718.85,682,482148,5.82%
20 Jun 2022,677.5,700,701.8,665.8,460388,-3.07%
17 Jun 2022,698.95,721.9,724.45,696,427277,-3.04%
16 Jun 2022,720.85,772,772.95,716.35,460376,-5.51%
15 Jun 2022,762.85,759,784.55,756.55,1431765,1.68%
14 Jun 2022,750.25,740.9,759.95,738.15,443183,1.26%
13 Jun 2022,740.95,758,758.55,735.1,272300,-3.23%
10 Jun 2022,765.65,758,770,756.3,291862,-0.75%
09 Jun 2022,771.45,762.1,781.8,759.05,705204,1.23%
08 Jun 2022,762.1,764.95,771,755,221767,0.04%
07 Jun 2022,761.8,761,770.4,756.1,168767,-0.23%
06 Jun 2022,763.55,764,766.4,753.15,101112,0.19%
03 Jun 2022,762.1,774.3,775.2,760.2,116986,-1.05%
02 Jun 2022,770.2,764.1,773,757.2,217781,0.80%
01 Jun 2022,764.1,763,766,755,157351,1.02%
31 May 2022,756.4,750,762.45,746.45,219678,0.92%
30 May 2022,749.5,736,753.1,736,163028,2.12%
27 May 2022,733.95,742.85,749.75,730.35,146270,-1.20%
26 May 2022,742.85,724.8,745,712.4,241264,2.49%
25 May 2022,724.8,730,736.45,721.3,333379,-1.09%
24 May 2022,732.8,756,756.15,730.2,308592,-3.04%
23 May 2022,755.75,765,768.15,753,145441,-0.91%
20 May 2022,762.7,754.7,765,752.6,210032,2.30%
19 May 2022,745.55,760,760,741.4,235068,-2.59%
18 May 2022,765.4,770.7,776.5,763.3,264514,-0.17%
17 May 2022,766.7,765.95,769,754,351782,0.87%
16 May 2022,760.1,741.55,762.7,735,284058,2.65%
13 May 2022,740.5,755.3,766.35,737.3,569239,-1.02%
12 May 2022,748.15,764.6,764.6,739.05,529217,-2.15%
11 May 2022,764.6,775,799,755.95,2702074,2.33%
10 May 2022,747.2,757,776.05,743,378683,-1.99%
09 May 2022,762.4,757,778.9,754.8,587204,-0.20%
06 May 2022,763.95,761.5,769,752.55,206813,-0.31%
05 May 2022,766.3,768,779.5,761.2,198200,-0.07%
04 May 2022,766.8,775,780,763.2,295843,-0.60%
02 May 2022,771.4,765.95,774.85,756.5,410970,0.29%
29 Apr 2022,769.2,808,819.75,766,1348564,-6.86%
28 Apr 2022,825.85,842.8,842.8,821.35,382538,-1.07%
27 Apr 2022,834.8,817.3,847.2,814.9,1588067,1.51%
26 Apr 2022,822.4,812,824.95,810.45,231222,1.78%
25 Apr 2022,808,817.95,823.15,804.75,217422,-1.92%
22 Apr 2022,823.85,820,838.65,818,380976,-0.21%
21 Apr 2022,825.55,819.4,828.75,813.5,282912,1.73%
20 Apr 2022,811.5,809.55,822,799.1,246222,0.23%
19 Apr 2022,809.6,825.05,837.15,797.95,363125,-1.73%
18 Apr 2022,823.85,828.7,835.95,815.05,278139,-0.63%
13 Apr 2022,829.1,841,847.6,817.1,943933,1.57%
12 Apr 2022,816.3,831,837,811,244357,-1.95%
11 Apr 2022,832.55,834.45,844,830,285936,0.45%
08 Apr 2022,828.8,823,834.5,818.4,294053,1.10%
07 Apr 2022,819.8,827,835,815,474987,-0.11%
06 Apr 2022,820.7,839,865,815.35,1521099,-0.96%
05 Apr 2022,828.65,830,835,821.1,495374,0.31%
04 Apr 2022,826.05,803.3,828,796.25,1082048,3.81%
01 Apr 2022,795.75,785,797.3,770.05,551184,2.14%
31 Mar 2022,779.05,787,803,776,840894,-0.48%
30 Mar 2022,782.8,784,791.5,773.3,711309,0.58%
29 Mar 2022,778.3,761,794,761,1541684,2.31%
28 Mar 2022,760.75,758.3,766.4,737.85,803804,0.55%
25 Mar 2022,756.6,776.8,784.65,752.65,483711,-1.72%
24 Mar 2022,769.85,765,775.6,756.45,362700,-0.19%
23 Mar 2022,771.3,759.8,794.9,757.15,1806388,2.42%
22 Mar 2022,753.05,769,769,746.35,334753,-1.33%
21 Mar 2022,763.2,770,775,760.25,413269,-0.70%
17 Mar 2022,768.55,778.4,782.85,766.95,518355,-0.04%
16 Mar 2022,768.85,756.1,776.95,756.1,572420,2.04%
15 Mar 2022,753.5,790,792.85,751.2,682830,-5.03%
14 Mar 2022,793.4,760.9,797,755.55,3300995,5.79%
11 Mar 2022,750,760,762.05,744.1,697058,-1.32%
10 Mar 2022,760,768,772.15,755,431173,0.24%
09 Mar 2022,758.2,775,778.8,748.8,661284,-0.48%
08 Mar 2022,761.85,722.75,777.25,720.05,2481243,6.75%
07 Mar 2022,713.7,712,731,696.3,645139,-0.37%
04 Mar 2022,716.35,723.1,728.35,712,423324,-1.48%
03 Mar 2022,727.1,734,736.55,722.5,364817,0.17%
02 Mar 2022,725.9,725,743.4,720.35,489824,-0.24%
28 Feb 2022,727.65,699,730,690.6,569000,3.67%
25 Feb 2022,701.9,693.95,716.65,690.3,1073132,3.02%
24 Feb 2022,681.3,725,739.5,680,887399,-8.89%
23 Feb 2022,747.75,747.95,756,746.05,221233,0.47%
22 Feb 2022,744.25,752,758.55,740,400588,-2.50%
21 Feb 2022,763.3,766,775,757.05,334614,-0.68%
18 Feb 2022,768.5,774,778.5,766,315234,-1.00%
17 Feb 2022,776.25,790,794.75,775.05,374842,-2.54%
16 Feb 2022,796.45,805,813.8,794,514319,-0.46%
15 Feb 2022,800.15,798.5,810,771.1,547655,1.78%
14 Feb 2022,786.15,795,805.75,763.65,733310,-1.60%
11 Feb 2022,798.9,786,808.95,783.1,1077916,0.71%
10 Feb 2022,793.3,805,805,791.4,584987,-0.75%
09 Feb 2022,799.3,799.95,812,781.05,2253223,-3.57%
08 Feb 2022,828.85,835,836.65,817.3,517859,-0.44%
07 Feb 2022,832.5,848,849.1,830,293792,-1.19%
04 Feb 2022,842.5,852.7,858.9,841,324250,-1.02%
03 Feb 2022,851.15,850,854.95,842.2,300091,0.49%
02 Feb 2022,847,833.05,848.6,832,288392,2.13%
01 Feb 2022,829.3,825,831.85,818,258723,1.21%
31 Jan 2022,819.35,820,828.5,816,272010,0.58%
28 Jan 2022,814.6,813.2,830.7,812,478071,0.70%
27 Jan 2022,808.95,816.7,822.2,796.65,593278,-1.35%
25 Jan 2022,820.05,816,827,793.3,587804,0.47%
24 Jan 2022,816.25,850,852,804,919745,-4.29%
21 Jan 2022,852.8,868.9,873.95,849,534781,-2.04%
20 Jan 2022,870.55,865.9,875,862.05,663065,0.73%
19 Jan 2022,864.2,867,874.9,857.95,604032,-0.27%
18 Jan 2022,866.5,886,893.5,863.25,989219,-1.35%
17 Jan 2022,878.35,885,885.7,870,438416,-0.59%
14 Jan 2022,883.55,885.4,887.7,879.25,304734,-0.21%
13 Jan 2022,885.4,879,888.9,874.95,605231,0.55%
12 Jan 2022,880.6,887,887,874.2,411110,-0.20%
11 Jan 2022,882.35,892,892,876.8,345752,-0.94%
10 Jan 2022,890.7,893.9,893.9,886.45,591369,0.72%
07 Jan 2022,884.3,885.85,891,877.9,923135,0.61%
06 Jan 2022,878.9,879,888,871.3,1171642,0.14%
05 Jan 2022,877.7,874.95,879.1,871,444278,0.72%
04 Jan 2022,871.45,879.25,883.9,868.7,461577,-0.52%
03 Jan 2022,876,863,877.4,863,215283,1.51%
31 Dec 2021,862.95,858,871.55,856.8,299115,0.92%
30 Dec 2021,855.05,861,862,848.8,416229,-0.27%
29 Dec 2021,857.35,857.2,864.8,852.65,343773,-0.17%
28 Dec 2021,858.8,854.7,862.8,847,439530,1.22%
27 Dec 2021,848.45,848.95,849.75,838.1,181362,-0.06%
24 Dec 2021,848.95,859.95,862.75,843.6,272905,-1.08%
23 Dec 2021,858.2,852.9,864.75,852.9,541699,0.85%
22 Dec 2021,850.95,854.7,854.7,847.3,528358,0.51%
21 Dec 2021,846.6,847.25,858,841,613176,0.30%
20 Dec 2021,844.05,872,872,834,1076963,-3.20%
17 Dec 2021,871.95,891.5,891.5,869.3,615615,-2.04%
16 Dec 2021,890.15,903,906.45,886.1,644844,-1.11%
15 Dec 2021,900.1,915.9,918.45,899,402427,-1.50%
14 Dec 2021,913.8,903.1,915.45,897.55,792411,0.63%
13 Dec 2021,908.05,929,929,906,477440,-0.80%
10 Dec 2021,915.35,913.9,921.2,911.55,666253,0.15%
09 Dec 2021,913.95,910.35,922.95,900.8,800672,0.46%
08 Dec 2021,909.8,917,917.7,900,1055910,0.26%
07 Dec 2021,907.45,896,911.15,887.1,854116,1.33%
06 Dec 2021,895.55,918,922,892.1,468282,-2.39%
03 Dec 2021,917.45,925,938,915,713370,-0.40%
02 Dec 2021,921.15,915.95,924,912.85,508133,0.97%
01 Dec 2021,912.3,926.4,931.8,906.05,548661,-0.55%
30 Nov 2021,917.3,918.15,936.95,915.05,278290,-0.09%
29 Nov 2021,918.15,928,934.35,900.9,485527,-0.77%
26 Nov 2021,925.3,932,941.95,921.35,422407,-0.80%
25 Nov 2021,932.8,939.3,941.85,922.65,244224,-0.51%
24 Nov 2021,937.6,940,952.5,935.4,363214,-0.04%
23 Nov 2021,938,941.8,944.8,916.5,1764235,-0.23%
22 Nov 2021,940.2,978.5,978.5,935,553940,-2.44%
18 Nov 2021,963.7,998,1005,959,624685,-3.63%
17 Nov 2021,999.95,1004,1010.85,998,172852,-0.78%
16 Nov 2021,1007.8,1019,1023.6,1004,136437,-1.01%
